qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
68;gov2;IDX_D;3;10;3;0;942510;915760;186;50410357;0;0;129731157
250;gov2;IDX_D;3;10;2;0;34033;14392;19;50410357;0;0;37370
503;gov2;IDX_D;3;10;3;10;3644801;3625240;2780;50410357;0;0;3646417
561;gov2;IDX_D;3;10;3;0;1440;233;4;50410357;0;0;1537
683;gov2;IDX_D;3;10;3;2;1060;261;64;50410357;0;0;1171
918;gov2;IDX_D;3;10;4;0;2201;1385;438;50410357;0;0;2280
1153;gov2;IDX_D;3;10;1;10;1123;518;303;50410357;0;0;1201
1178;gov2;IDX_D;3;10;2;10;1661;1056;556;50410357;0;0;1750
1206;gov2;IDX_D;3;10;3;10;724395;723855;249560;50410357;0;0;728310
1394;gov2;IDX_D;3;10;4;1;19564;11583;61;50410357;0;0;19720
1465;gov2;IDX_D;3;10;2;10;22845;22499;11100;50410357;0;0;22998
1734;gov2;IDX_D;3;10;1;1;587;128;26;50410357;0;0;670
1847;gov2;IDX_D;3;10;2;10;2417;2007;1152;50410357;0;0;2496
1984;gov2;IDX_D;3;10;2;10;13417;13264;7391;50410357;0;0;13530
2007;gov2;IDX_D;3;10;1;3;632;184;68;50410357;0;0;709
2127;gov2;IDX_D;3;10;5;0;1371;298;33;50410357;0;0;1450
2176;gov2;IDX_D;3;10;2;10;2435;2047;1208;50410357;0;0;2515
2198;gov2;IDX_D;3;10;2;3;1027;572;288;50410357;0;0;1103
2203;gov2;IDX_D;3;10;1;10;4050;3919;3549;50410357;0;0;4190
2244;gov2;IDX_D;3;10;2;10;30305;30047;17761;50410357;0;0;30539
2388;gov2;IDX_D;3;10;2;10;51610;51440;32316;50410357;0;0;52073
2440;gov2;IDX_D;3;10;2;10;2722;2329;1263;50410357;0;0;2817
2653;gov2;IDX_D;3;10;4;4;3281;2515;977;50410357;0;0;3364
2875;gov2;IDX_D;3;10;3;10;162493;162117;62597;50410357;0;0;163036
2896;gov2;IDX_D;3;10;2;10;7189;6456;2914;50410357;0;0;7288
3219;gov2;IDX_D;3;10;2;10;9492;8972;4592;50410357;0;0;9582
3414;gov2;IDX_D;3;10;2;10;12605;12040;7109;50410357;0;0;12766
