7712;gov2;IDX_DR;0;10;5;10;76292;76266;9714;0;0;0;77069
7956;gov2;IDX_DR;0;10;2;10;75991;75913;16812;0;0;0;76260
8018;gov2;IDX_DR;0;10;6;10;301515;300863;36009;0;0;0;302361
8847;gov2;IDX_DR;0;10;2;10;149299;148214;30661;0;0;0;150139
8946;gov2;IDX_DR;0;10;6;10;437287;436567;58791;0;0;0;438306
8961;gov2;IDX_DR;0;10;5;10;39785;35793;5049;0;0;0;40317
9061;gov2;IDX_DR;0;10;3;10;1703469;1703439;187717;0;0;0;1705944
9178;gov2;IDX_DR;0;10;4;10;967881;940588;118653;0;0;0;970001
9275;gov2;IDX_DR;0;10;4;10;575389;549207;76365;0;0;0;576708
9523;gov2;IDX_DR;0;10;5;10;5979712;5971745;755348;0;0;0;5980057
9527;gov2;IDX_DR;0;10;6;10;1803868;1803818;154816;0;0;0;1806242
9535;gov2;IDX_DR;0;10;3;10;983041;966036;116848;0;0;0;989062
9540;gov2;IDX_DR;0;10;4;10;531060;497749;58919;0;0;0;531387
9726;gov2;IDX_DR;0;10;2;10;284598;264265;48340;0;0;0;285369
9730;gov2;IDX_DR;0;10;7;10;2443610;2441580;257616;0;0;0;2446448
9839;gov2;IDX_DR;0;10;4;10;2354566;2331378;322742;0;0;0;2357539
9840;gov2;IDX_DR;0;10;3;10;1477079;1443549;147447;0;0;0;1479546
9866;gov2;IDX_DR;0;10;4;10;205163;167929;22394;0;0;0;205487
9950;gov2;IDX_DR;0;10;3;10;126487;124925;17128;0;0;0;127330
9957;gov2;IDX_DR;0;10;2;10;45759;45193;9227;0;0;0;46380
9977;gov2;IDX_DR;0;10;3;10;20946;20920;3019;0;0;0;21435
9991;gov2;IDX_DR;0;10;9;10;7256958;7256920;777474;0;0;0;7257516
10021;gov2;IDX_DR;0;10;4;10;1470633;1470586;147502;0;0;0;1473023
10063;gov2;IDX_DR;0;10;3;10;1165820;1127531;132224;0;0;0;1171462
10139;gov2;IDX_DR;0;10;3;10;83008;73250;9689;0;0;0;83858
10231;gov2;IDX_DR;0;10;8;10;16616;16279;1560;0;0;0;16791
10395;gov2;IDX_DR;0;10;3;10;88111;88093;12001;0;0;0;88695
10397;gov2;IDX_DR;0;10;6;10;790646;789370;89560;0;0;0;791965
10470;gov2;IDX_DR;0;10;4;10;1972862;1967952;269854;0;0;0;1973186
11060;gov2;IDX_DR;0;10;2;10;300540;300500;25274;0;0;0;300848
11077;gov2;IDX_DR;0;10;3;10;595955;594819;71694;0;0;0;597131
11155;gov2;IDX_DR;0;10;5;10;1169861;1163140;150404;0;0;0;1172324
11188;gov2;IDX_DR;0;10;5;10;1001884;973213;125320;0;0;0;1004047
11242;gov2;IDX_DR;0;10;5;10;686509;667109;85000;0;0;0;687945
11245;gov2;IDX_DR;0;10;5;10;2020834;2012026;247322;0;0;0;2023673
11382;gov2;IDX_DR;0;10;8;10;4178849;4144032;434638;0;0;0;4181565
11432;gov2;IDX_DR;0;10;4;10;186123;184819;4136;0;0;0;186727
11439;gov2;IDX_DR;0;10;5;10;537355;537308;68436;0;0;0;541177
11476;gov2;IDX_DR;0;10;3;10;94326;88930;12363;0;0;0;94960
11545;gov2;IDX_DR;0;10;4;10;768801;767454;106542;0;0;0;770843
11809;gov2;IDX_DR;0;10;3;10;300602;292101;41204;0;0;0;301466
11848;gov2;IDX_DR;0;10;4;10;794620;793025;108897;0;0;0;796619
12000;gov2;IDX_DR;0;10;6;10;3034462;3013646;355568;0;0;0;3138000
12146;gov2;IDX_DR;0;10;2;10;102891;86782;9903;0;0;0;103929
12190;gov2;IDX_DR;0;10;5;10;31435;31389;4153;0;0;0;31789
12254;gov2;IDX_DR;0;10;11;10;5474743;5474695;466856;0;0;0;5475471
12588;gov2;IDX_DR;0;10;3;10;676190;676146;70453;0;0;0;677456
