qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
70;gov2;IDX_D;2;10;1;4;1171;183;92;50410357;0;0;2368
211;gov2;IDX_D;2;10;1;10;638;369;210;50410357;0;0;718
257;gov2;IDX_D;2;10;1;10;467;305;196;50410357;0;0;542
259;gov2;IDX_D;2;10;2;10;752;397;253;50410357;0;0;830
450;gov2;IDX_D;2;10;2;10;40239;40100;26666;50410357;0;0;40778
527;gov2;IDX_D;2;10;1;10;1203;900;670;50410357;0;0;1298
591;gov2;IDX_D;2;10;1;10;730;448;300;50410357;0;0;808
626;gov2;IDX_D;2;10;1;1;217;76;26;50410357;0;0;292
717;gov2;IDX_D;2;10;1;10;24609;24561;19090;50410357;0;0;25102
736;gov2;IDX_D;2;10;1;10;779;357;218;50410357;0;0;856
775;gov2;IDX_D;2;10;6;10;325634;324391;128675;50410357;0;0;326901
892;gov2;IDX_D;2;10;1;2;7803;2435;51;50410357;0;0;8270
966;gov2;IDX_D;2;10;1;10;437;286;179;50410357;0;0;513
1113;gov2;IDX_D;2;10;2;10;10723;10583;7191;50410357;0;0;10952
1131;gov2;IDX_D;2;10;1;10;1374;1101;938;50410357;0;0;1464
1180;gov2;IDX_D;2;10;5;10;551834;550403;164359;50410357;0;0;553589
1209;gov2;IDX_D;2;10;5;10;1152258;1140853;322747;50410357;0;0;1154062
1235;gov2;IDX_D;2;10;1;5;16010;10815;113;50410357;0;0;17568
1243;gov2;IDX_D;2;10;2;10;74068;68184;22161;50410357;0;0;74650
1248;gov2;IDX_D;2;10;2;10;1262;777;580;50410357;0;0;1361
1253;gov2;IDX_D;2;10;1;10;23582;23533;19422;50410357;0;0;24070
1264;gov2;IDX_D;2;10;1;10;829;532;393;50410357;0;0;907
1286;gov2;IDX_D;2;10;2;10;3161;2292;1958;50410357;0;0;3281
1412;gov2;IDX_D;2;10;1;10;513;370;290;50410357;0;0;591
1468;gov2;IDX_D;2;10;3;10;1776590;1776277;595958;50410357;0;0;1776795
1550;gov2;IDX_D;2;10;1;10;188425;188335;5648;50410357;0;0;188745
1551;gov2;IDX_D;2;10;1;10;14414;14328;11020;50410357;0;0;14734
1613;gov2;IDX_D;2;10;1;10;5362;5210;4625;50410357;0;0;5533
1661;gov2;IDX_D;2;10;2;10;122561;122398;76337;50410357;0;0;123154
1796;gov2;IDX_D;2;10;1;2;1370;318;50;50410357;0;0;1463
1847;gov2;IDX_D;2;10;3;10;2042;1534;1070;50410357;0;0;2142
1903;gov2;IDX_D;2;10;3;10;131918;131156;69070;50410357;0;0;132506
1969;gov2;IDX_D;2;10;1;2;1176;130;49;50410357;0;0;1273
2118;gov2;IDX_D;2;10;4;10;906970;906388;414600;50410357;0;0;908727
2146;gov2;IDX_D;2;10;1;2;6412;1631;42;50410357;0;0;8003
2217;gov2;IDX_D;2;10;2;10;171456;163977;72847;50410357;0;0;172040
2271;gov2;IDX_D;2;10;2;10;1298782;1297818;653674;50410357;0;0;1299004
2321;gov2;IDX_D;2;10;4;10;2304870;2304245;748987;50410357;0;0;2305093
2343;gov2;IDX_D;2;10;2;10;231382;230649;3987;50410357;0;0;231701
2348;gov2;IDX_D;2;10;2;10;153131;152816;93049;50410357;0;0;153771
2383;gov2;IDX_D;2;10;1;10;2428;535;314;50410357;0;0;2524
2388;gov2;IDX_D;2;10;1;10;660;373;206;50410357;0;0;737
2449;gov2;IDX_D;2;10;1;10;3512;3254;2515;50410357;0;0;3636
2550;gov2;IDX_D;2;10;2;10;12682;12121;9837;50410357;0;0;12975
2568;gov2;IDX_D;2;10;2;9;830;345;174;50410357;0;0;907
2602;gov2;IDX_D;2;10;2;10;225846;225568;136313;50410357;0;0;226554
2669;gov2;IDX_D;2;10;1;10;4337;2387;235;50410357;0;0;4435
2761;gov2;IDX_D;2;10;1;10;543;386;253;50410357;0;0;619
2825;gov2;IDX_D;2;10;1;10;1091;947;695;50410357;0;0;1171
2826;gov2;IDX_D;2;10;1;10;4160;4110;3247;50410357;0;0;4309
2828;gov2;IDX_D;2;10;1;10;756;462;326;50410357;0;0;829
3064;gov2;IDX_D;2;10;1;10;387;329;255;50410357;0;0;459
3068;gov2;IDX_D;2;10;1;10;1354;1301;1158;50410357;0;0;1439
3091;gov2;IDX_D;2;10;2;10;877;397;204;50410357;0;0;954
3161;gov2;IDX_D;2;10;1;10;982;933;848;50410357;0;0;1065
