qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
29308;trec8;IDX_D;0;10;2;10;11954;11938;9490;1056309;0;0;12454
29368;trec8;IDX_D;0;10;1;10;320;283;179;1056309;0;0;762
29421;trec8;IDX_D;0;10;1;10;353;328;232;1056309;0;0;649
29458;trec8;IDX_D;0;10;10;10;147035;146967;49286;1056309;0;0;147569
29495;trec8;IDX_D;0;10;0;0;46;4;1;1056309;0;0;507
29527;trec8;IDX_D;0;10;5;10;19074;19012;8111;1056309;0;0;19340
29543;trec8;IDX_D;0;10;7;10;32767;32735;13609;1056309;0;0;33219
29569;trec8;IDX_D;0;10;1;3;152;112;52;1056309;0;0;593
29632;trec8;IDX_D;0;10;2;10;711;678;458;1056309;0;0;1099
29693;trec8;IDX_D;0;10;4;10;6378;6345;2911;1056309;0;0;6888
29737;trec8;IDX_D;0;10;1;10;5538;5516;4103;1056309;0;0;5896
29774;trec8;IDX_D;0;10;4;10;10596;10573;5793;1056309;0;0;11049
29900;trec8;IDX_D;0;10;3;10;19034;18980;8137;1056309;0;0;19677
29958;trec8;IDX_D;0;10;3;10;3502;3477;2458;1056309;0;0;3907
29976;trec8;IDX_D;0;10;2;10;1188;1173;954;1056309;0;0;1455
30035;trec8;IDX_D;0;10;1;10;449;425;369;1056309;0;0;714
30055;trec8;IDX_D;0;10;3;10;11493;11477;7539;1056309;0;0;11887
30162;trec8;IDX_D;0;10;4;10;6057;6019;2299;1056309;0;0;6536
30209;trec8;IDX_D;0;10;2;10;782;761;435;1056309;0;0;1131
30215;trec8;IDX_D;0;10;4;10;4004;3978;1909;1056309;0;0;4343
30298;trec8;IDX_D;0;10;4;10;19446;19424;10127;1056309;0;0;20054
30299;trec8;IDX_D;0;10;4;10;2385;2323;1378;1056309;0;0;2700
30327;trec8;IDX_D;0;10;4;10;52169;52141;27817;1056309;0;0;52548
30338;trec8;IDX_D;0;10;3;10;18337;18310;11625;1056309;0;0;18655
30411;trec8;IDX_D;0;10;6;10;12591;12561;6205;1056309;0;0;13064
30472;trec8;IDX_D;0;10;1;10;1941;1925;1742;1056309;0;0;2471
30536;trec8;IDX_D;0;10;3;10;15744;15701;9552;1056309;0;0;16323
30599;trec8;IDX_D;0;10;5;10;47510;47481;22654;1056309;0;0;48162
30610;trec8;IDX_D;0;10;6;10;58526;58475;24086;1056309;0;0;59034
30667;trec8;IDX_D;0;10;2;10;8538;8493;5968;1056309;0;0;8990
30693;trec8;IDX_D;0;10;3;10;25956;25907;14021;1056309;0;0;26473
30724;trec8;IDX_D;0;10;2;10;13744;13718;8094;1056309;0;0;14163
30740;trec8;IDX_D;0;10;4;10;27887;27862;15461;1056309;0;0;28407
30757;trec8;IDX_D;0;10;4;10;22451;22412;11400;1056309;0;0;22941
30772;trec8;IDX_D;0;10;0;0;33;4;1;1056309;0;0;430
30900;trec8;IDX_D;0;10;3;10;16546;16527;11899;1056309;0;0;16976
30938;trec8;IDX_D;0;10;2;10;716;678;479;1056309;0;0;1047
30995;trec8;IDX_D;0;10;5;10;35326;35304;17370;1056309;0;0;35833
31103;trec8;IDX_D;0;10;0;0;37;5;1;1056309;0;0;428
31119;trec8;IDX_D;0;10;0;0;21;1;1;1056309;0;0;288
31197;trec8;IDX_D;0;10;2;10;2944;2930;2216;1056309;0;0;3187
31214;trec8;IDX_D;0;10;1;10;2713;2701;2658;1056309;0;0;3069
31248;trec8;IDX_D;0;10;2;10;23066;23047;21899;1056309;0;0;23556
31266;trec8;IDX_D;0;10;2;10;1451;1402;1115;1056309;0;0;1801
31316;trec8;IDX_D;0;10;4;10;12210;12171;6703;1056309;0;0;12661
