6785;cluewebB;bm25;IDX_DR;0;10;3;10;1750983;1750120;210577;0;0;0;1754449
6811;cluewebB;bm25;IDX_DR;0;10;5;10;8850822;8781253;1357952;0;0;0;9279449
7005;cluewebB;bm25;IDX_DR;0;10;4;10;2289287;2194950;280742;0;0;0;2292019
7078;cluewebB;bm25;IDX_DR;0;10;5;10;4224274;4127933;639472;0;0;0;4416332
7172;cluewebB;bm25;IDX_DR;0;10;2;10;1521866;1463574;275351;0;0;0;1522134
7188;cluewebB;bm25;IDX_DR;0;10;4;10;1430441;1430381;193049;0;0;0;1433168
7211;cluewebB;bm25;IDX_DR;0;10;4;10;1237753;1197140;187670;0;0;0;1240479
7450;cluewebB;bm25;IDX_DR;0;10;8;10;4334616;4282268;534391;0;0;0;4335780
7552;cluewebB;bm25;IDX_DR;0;10;3;10;613285;612349;61239;0;0;0;620733
7635;cluewebB;bm25;IDX_DR;0;10;1;10;36192;1383;338;0;0;0;36431
7712;cluewebB;bm25;IDX_DR;0;10;5;10;108703;108652;16574;0;0;0;109353
7956;cluewebB;bm25;IDX_DR;0;10;2;10;148585;148423;35317;0;0;0;149237
8018;cluewebB;bm25;IDX_DR;0;10;6;10;1078974;1078272;145897;0;0;0;1083803
8847;cluewebB;bm25;IDX_DR;0;10;2;10;1208737;1188869;230444;0;0;0;1211468
8946;cluewebB;bm25;IDX_DR;0;10;6;10;1171406;1129993;163658;0;0;0;1176046
8961;cluewebB;bm25;IDX_DR;0;10;5;10;132623;89025;14232;0;0;0;133289
9061;cluewebB;bm25;IDX_DR;0;10;3;10;2067342;2067070;238284;0;0;0;2072684
9178;cluewebB;bm25;IDX_DR;0;10;4;10;1130785;1076069;146543;0;0;0;1133569
9275;cluewebB;bm25;IDX_DR;0;10;4;10;1151744;1108276;165474;0;0;0;1154525
9523;cluewebB;bm25;IDX_DR;0;10;5;10;3352736;3299873;509013;0;0;0;3513932
9527;cluewebB;bm25;IDX_DR;0;10;6;10;993328;930955;123014;0;0;0;995896
9535;cluewebB;bm25;IDX_DR;0;10;3;10;4075587;4064419;520101;0;0;0;4075853
9540;cluewebB;bm25;IDX_DR;0;10;4;10;3881686;3881621;475492;0;0;0;3881949
9726;cluewebB;bm25;IDX_DR;0;10;2;10;2111821;2111771;254501;0;0;0;2114532
9730;cluewebB;bm25;IDX_DR;0;10;7;10;6031794;5975423;793561;0;0;0;6248383
9839;cluewebB;bm25;IDX_DR;0;10;4;10;7453969;7355904;1190297;0;0;0;7454252
9840;cluewebB;bm25;IDX_DR;0;10;3;10;3081989;3081932;229458;0;0;0;3087492
9866;cluewebB;bm25;IDX_DR;0;10;4;10;326866;275260;27502;0;0;0;327530
9950;cluewebB;bm25;IDX_DR;0;10;3;10;339674;338629;42038;0;0;0;341488
9957;cluewebB;bm25;IDX_DR;0;10;2;10;58076;50947;11805;0;0;0;58716
9977;cluewebB;bm25;IDX_DR;0;10;3;10;91025;90908;13627;0;0;0;91715
9991;cluewebB;bm25;IDX_DR;0;10;9;10;12239725;12238450;1508631;0;0;0;12242412
10021;cluewebB;bm25;IDX_DR;0;10;4;10;3450113;3450054;477352;0;0;0;3465192
10063;cluewebB;bm25;IDX_DR;0;10;3;10;3098222;2994460;342784;0;0;0;3098497
10139;cluewebB;bm25;IDX_DR;0;10;3;10;582449;582384;24499;0;0;0;583265
10231;cluewebB;bm25;IDX_DR;0;10;8;10;14735;12403;1518;0;0;0;14927
10395;cluewebB;bm25;IDX_DR;0;10;3;10;856055;856015;109280;0;0;0;859398
10397;cluewebB;bm25;IDX_DR;0;10;6;10;3279676;3215131;452152;0;0;0;3410715
10470;cluewebB;bm25;IDX_DR;0;10;4;10;772374;688824;103246;0;0;0;774974
11060;cluewebB;bm25;IDX_DR;0;10;2;10;468888;459688;92354;0;0;0;469881
11077;cluewebB;bm25;IDX_DR;0;10;3;10;4170232;4166225;525697;0;0;0;4170512
11155;cluewebB;bm25;IDX_DR;0;10;5;10;1023885;1023821;1195;0;0;0;1024218
11188;cluewebB;bm25;IDX_DR;0;10;5;10;2189602;2189543;343953;0;0;0;2296544
11242;cluewebB;bm25;IDX_DR;0;10;5;10;2671393;2602214;395597;0;0;0;2803805
11245;cluewebB;bm25;IDX_DR;0;10;5;10;2639715;2510514;384816;0;0;0;2758665
11382;cluewebB;bm25;IDX_DR;0;10;8;10;9338645;9277475;1186163;0;0;0;9339975
11432;cluewebB;bm25;IDX_DR;0;10;4;10;565589;561262;16547;0;0;0;575182
11439;cluewebB;bm25;IDX_DR;0;10;5;10;1828172;1827542;279023;0;0;0;1920754
11476;cluewebB;bm25;IDX_DR;0;10;3;10;258185;173887;23101;0;0;0;259114
11545;cluewebB;bm25;IDX_DR;0;10;4;10;2077715;2074807;328131;0;0;0;2077998
11809;cluewebB;bm25;IDX_DR;0;10;3;10;1270217;1270154;130266;0;0;0;1274661
11848;cluewebB;bm25;IDX_DR;0;10;4;10;1551094;1499627;219628;0;0;0;1554198
12000;cluewebB;bm25;IDX_DR;0;10;6;10;4695042;4618058;659568;0;0;0;4884400
12146;cluewebB;bm25;IDX_DR;0;10;2;10;322962;262675;53836;0;0;0;323645
12190;cluewebB;bm25;IDX_DR;0;10;5;10;133811;132456;20038;0;0;0;134492
12254;cluewebB;bm25;IDX_DR;0;10;11;10;17523586;17523120;1870709;0;0;0;17546892
