qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
5941;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;100184;100145;19677;50410357;0;0;107646
5971;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;12;10;197048;191125;21612;50410357;0;0;198572
6062;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;155769;155728;34244;50410357;0;0;156609
6161;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;280628;280417;63790;50410357;0;0;282496
6480;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;81289;75878;23719;50410357;0;0;81792
6785;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;374179;374138;69933;50410357;0;0;377833
6811;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;4064739;4038523;694345;50410357;0;0;4068614
7005;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;1158108;1125779;213278;50410357;0;0;1163929
7078;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;1934378;1915925;337174;50410357;0;0;1938207
7172;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;2511692;2504618;588194;50410357;0;0;2515392
7188;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;1472517;1452734;285008;50410357;0;0;1476223
7211;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;531868;507739;108367;50410357;0;0;532830
7450;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;8;10;1273041;1271280;183254;50410357;0;0;1274526
7552;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;93969;93930;17905;50410357;0;0;95099
7635;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;10;7849;5971;2602;50410357;0;0;8013
7712;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;74482;74454;14221;50410357;0;0;76045
7956;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;106441;106405;33117;50410357;0;0;107097
8018;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;290346;290293;46236;50410357;0;0;291372
8847;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;512229;510959;148831;50410357;0;0;513081
8946;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;4;37391;35951;5743;50410357;0;0;37931
8961;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;10901;10857;2259;50410357;0;0;11055
9061;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;2833629;2833609;485553;50410357;0;0;2837588
9178;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;1543400;1516495;265292;50410357;0;0;1547478
9275;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;1217208;1193371;235267;50410357;0;0;1220670
9523;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;10084941;10071154;1624611;50410357;0;0;10086532
9527;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;2471197;2471141;331402;50410357;0;0;2472846
9535;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;1328298;1328258;246478;50410357;0;0;1334890
9540;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;156608;128363;15364;50410357;0;0;157170
9726;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;524950;524913;142363;50410357;0;0;530951
9730;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;7;10;1209229;1208309;175421;50410357;0;0;1212900
9839;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;2666932;2648916;518201;50410357;0;0;2670694
