qryid;collection;ranker;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
3068;gov2;bm25;INVIDX_E_BM25;0;100;1;100;168;159;0;0;615;615;244
3091;gov2;bm25;INVIDX_E_BM25;0;100;5;100;139634;139612;0;0;445683;476367;139831
3161;gov2;bm25;INVIDX_E_BM25;0;100;1;100;584;565;0;0;2165;2165;673
3234;gov2;bm25;INVIDX_E_BM25;0;100;4;100;4511387;4511369;0;0;18235998;18509782;4511599
3281;gov2;bm25;INVIDX_E_BM25;0;100;3;100;1071062;1071035;0;0;4504602;4936069;1071282
3398;gov2;bm25;INVIDX_E_BM25;0;100;1;100;480172;480151;0;0;2780755;2780755;480397
3421;gov2;bm25;INVIDX_E_BM25;0;100;5;100;4513497;4513462;0;0;15323914;20279719;4513718
3443;gov2;bm25;INVIDX_E_BM25;0;100;6;100;7795192;7795156;0;0;22099224;39725033;7795416
3628;gov2;bm25;INVIDX_E_BM25;0;100;3;100;175868;175840;0;0;674292;717380;176092
3764;gov2;bm25;INVIDX_E_BM25;0;100;1;100;896;876;0;0;3578;3578;989
3828;gov2;bm25;INVIDX_E_BM25;0;100;2;100;11992;11978;0;0;50451;50490;12065
3845;gov2;bm25;INVIDX_E_BM25;0;100;2;100;756334;756322;0;0;3733020;3803573;756536
3895;gov2;bm25;INVIDX_E_BM25;0;100;3;100;117937;117908;0;0;440344;448336;118164
3942;gov2;bm25;INVIDX_E_BM25;0;100;3;100;99676;99649;0;0;376541;386874;99894
3950;gov2;bm25;INVIDX_E_BM25;0;100;5;100;3441471;3441439;0;0;11768364;15152550;3441694
3972;gov2;bm25;INVIDX_E_BM25;0;100;2;100;134582;134557;0;0;629433;630024;134792
4001;gov2;bm25;INVIDX_E_BM25;0;100;5;100;5036063;5036027;0;0;18266345;20088696;5036292
4151;gov2;bm25;INVIDX_E_BM25;0;100;2;100;3382;3348;0;0;12466;12468;3490
4153;gov2;bm25;INVIDX_E_BM25;0;100;3;100;942828;942811;0;0;4093471;4199554;943026
4172;gov2;bm25;INVIDX_E_BM25;0;100;2;100;1982463;1982437;0;0;10014975;10227323;1982685
4212;gov2;bm25;INVIDX_E_BM25;0;100;2;100;8970;8945;0;0;35246;35272;9066
4234;gov2;bm25;INVIDX_E_BM25;0;100;3;100;232188;232172;0;0;944811;1062528;232378
4290;gov2;bm25;INVIDX_E_BM25;0;100;1;100;332;311;0;0;1122;1122;422
4379;gov2;bm25;INVIDX_E_BM25;0;100;4;100;2334552;2334533;0;0;8482515;11102522;2334743
4521;gov2;bm25;INVIDX_E_BM25;0;100;3;100;911626;911598;0;0;3809700;3940478;911828
4526;gov2;bm25;INVIDX_E_BM25;0;100;2;100;40990;40964;0;0;181363;181363;41155
4580;gov2;bm25;INVIDX_E_BM25;0;100;2;100;5504;5484;0;0;22246;22330;5594
4684;gov2;bm25;INVIDX_E_BM25;0;100;1;59;34;25;0;0;59;59;109
4688;gov2;bm25;INVIDX_E_BM25;0;100;3;100;60473;60457;0;0;225983;226160;60620
4720;gov2;bm25;INVIDX_E_BM25;0;100;1;27;33;16;0;0;27;27;113
4802;gov2;bm25;INVIDX_E_BM25;0;100;2;100;24828;24815;0;0;105306;105307;24912
4829;gov2;bm25;INVIDX_E_BM25;0;100;1;9;16;6;0;0;9;9;89
4846;gov2;bm25;INVIDX_E_BM25;0;100;3;100;473735;473720;0;0;1974083;2071701;473937
4855;gov2;bm25;INVIDX_E_BM25;0;100;2;100;14102;14078;0;0;56844;57045;14194
4942;gov2;bm25;INVIDX_E_BM25;0;100;4;100;5579904;5579887;0;0;20795683;25189365;5580109
5001;gov2;bm25;INVIDX_E_BM25;0;100;1;100;3718;3696;0;0;18881;18881;3813
5005;gov2;bm25;INVIDX_E_BM25;0;100;3;100;780722;780706;0;0;3220886;3503012;780929
5016;gov2;bm25;INVIDX_E_BM25;0;100;2;100;423006;422981;0;0;1979064;2076867;423229
5023;gov2;bm25;INVIDX_E_BM25;0;100;3;100;4226426;4226397;0;0;18377886;18425669;4226652
5036;gov2;bm25;INVIDX_E_BM25;0;100;3;100;527116;527086;0;0;2205041;2280934;527330
5183;gov2;bm25;INVIDX_E_BM25;0;100;2;100;866332;866307;0;0;4187018;4421727;866553
5209;gov2;bm25;INVIDX_E_BM25;0;100;3;100;3078585;3078558;0;0;12949171;15780915;3078804
5241;gov2;bm25;INVIDX_E_BM25;0;100;2;100;227517;227492;0;0;1062605;1067459;227731
5274;gov2;bm25;INVIDX_E_BM25;0;100;6;100;1546552;1546509;0;0;5035041;5968974;1546785
5302;gov2;bm25;INVIDX_E_BM25;0;100;2;100;167240;167216;0;0;758256;761695;167450
5332;gov2;bm25;INVIDX_E_BM25;0;100;3;100;149549;149520;0;0;601321;603293;149772
5336;gov2;bm25;INVIDX_E_BM25;0;100;2;100;14271;14246;0;0;56595;57053;14375
5340;gov2;bm25;INVIDX_E_BM25;0;100;3;100;4695344;4695329;0;0;20563576;23380838;4695559
5465;gov2;bm25;INVIDX_E_BM25;0;100;1;26;47;18;0;0;26;26;147
5590;gov2;bm25;INVIDX_E_BM25;0;100;3;100;7499;7482;0;0;28294;28357;7570
5636;gov2;bm25;INVIDX_E_BM25;0;100;2;100;217740;217728;0;0;971630;1052721;217940
5649;gov2;bm25;INVIDX_E_BM25;0;100;4;100;4260858;4260827;0;0;16142845;18362024;4261079
5847;gov2;bm25;INVIDX_E_BM25;0;100;4;100;1428066;1428037;0;0;5239102;6041430;1428283
5858;gov2;bm25;INVIDX_E_BM25;0;100;2;100;274157;274131;0;0;1312861;1316819;274370
5862;gov2;bm25;INVIDX_E_BM25;0;100;3;100;782132;782103;0;0;3377531;3434228;782357
6031;gov2;bm25;INVIDX_E_BM25;0;100;4;100;275963;275933;0;0;1018599;1033926;276186
6244;gov2;bm25;INVIDX_E_BM25;0;100;1;100;3825;3804;0;0;16022;16022;3923
6295;gov2;bm25;INVIDX_E_BM25;0;100;1;100;28128;28119;0;0;139221;139221;28236
6310;gov2;bm25;INVIDX_E_BM25;0;100;7;100;7646586;7646557;0;0;18929295;34965505;7646798
6341;gov2;bm25;INVIDX_E_BM25;0;100;3;100;124633;124605;0;0;558168;558730;124846
6371;gov2;bm25;INVIDX_E_BM25;0;100;3;100;109837;109802;0;0;410944;415363;110062
6396;gov2;bm25;INVIDX_E_BM25;0;100;4;100;4158597;4158567;0;0;15474153;19069182;4158821
6427;gov2;bm25;INVIDX_E_BM25;0;100;1;100;7243;7222;0;0;39680;39680;7338
6442;gov2;bm25;INVIDX_E_BM25;0;100;3;100;4810144;4810127;0;0;20507191;21220768;4810344
6546;gov2;bm25;INVIDX_E_BM25;0;100;3;100;52727;52697;0;0;205273;207676;52902
6614;gov2;bm25;INVIDX_E_BM25;0;100;2;100;63612;63592;0;0;271565;273325;63801
6732;gov2;bm25;INVIDX_E_BM25;0;100;1;100;29176;29157;0;0;137878;137878;29295
6759;gov2;bm25;INVIDX_E_BM25;0;100;3;100;76351;76333;0;0;287193;298201;76522
6799;gov2;bm25;INVIDX_E_BM25;0;100;3;100;1046002;1045976;0;0;4453596;5208580;1046206
6841;gov2;bm25;INVIDX_E_BM25;0;100;3;100;996164;996136;0;0;4352155;4653396;996389
6906;gov2;bm25;INVIDX_E_BM25;0;100;5;100;5914600;5914566;0;0;20585043;25665128;5914818
6939;gov2;bm25;INVIDX_E_BM25;0;100;3;100;64948;64919;0;0;242134;246038;65141
6992;gov2;bm25;INVIDX_E_BM25;0;100;4;100;3363357;3363330;0;0;13307992;14543472;3363572
7077;gov2;bm25;INVIDX_E_BM25;0;100;6;100;5845004;5844967;0;0;18295123;21139802;5845221
7156;gov2;bm25;INVIDX_E_BM25;0;100;4;100;4064633;4064601;0;0;16111570;17994972;4064867
7227;gov2;bm25;INVIDX_E_BM25;0;100;1;100;3141;3120;0;0;13511;13511;3253
7253;gov2;bm25;INVIDX_E_BM25;0;100;5;100;4976813;4976791;0;0;18290097;19618914;4977014
7353;gov2;bm25;INVIDX_E_BM25;0;100;2;100;284369;284345;0;0;1322757;1345539;284593
7463;gov2;bm25;INVIDX_E_BM25;0;100;1;1;28;5;0;0;1;1;117
7544;gov2;bm25;INVIDX_E_BM25;0;100;3;100;195124;195108;0;0;815724;816806;195324
7642;gov2;bm25;INVIDX_E_BM25;0;100;5;100;6065749;6065716;0;0;20646369;27988148;6065972
7656;gov2;bm25;INVIDX_E_BM25;0;100;2;100;15790;15762;0;0;58336;58606;15887
7680;gov2;bm25;INVIDX_E_BM25;0;100;4;100;282860;282843;0;0;982168;1107094;283059
7883;gov2;bm25;INVIDX_E_BM25;0;100;2;100;29114;29089;0;0;120827;121202;29224
7925;gov2;bm25;INVIDX_E_BM25;0;100;4;100;985986;985967;0;0;3885704;3968531;986184
7927;gov2;bm25;INVIDX_E_BM25;0;100;3;100;331183;331156;0;0;1268018;1405012;331402
7943;gov2;bm25;INVIDX_E_BM25;0;100;2;100;97953;97928;0;0;430030;438457;98170
7959;gov2;bm25;INVIDX_E_BM25;0;100;4;100;6542575;6542537;0;0;22051649;39349901;6542800
7964;gov2;bm25;INVIDX_E_BM25;0;100;1;100;650;629;0;0;2165;2165;744
7986;gov2;bm25;INVIDX_E_BM25;0;100;5;100;6179083;6179061;0;0;20774469;29395548;6179283
8035;gov2;bm25;INVIDX_E_BM25;0;100;2;100;85;60;0;0;125;125;177
8123;gov2;bm25;INVIDX_E_BM25;0;100;5;100;5255359;5255339;0;0;16978294;26529858;5255558
8137;gov2;bm25;INVIDX_E_BM25;0;100;6;100;7897824;7897788;0;0;20645367;45259120;7898036
8142;gov2;bm25;INVIDX_E_BM25;0;100;2;100;107455;107429;0;0;476843;476899;107676
8152;gov2;bm25;INVIDX_E_BM25;0;100;2;100;146574;146547;0;0;686741;691734;146788
8154;gov2;bm25;INVIDX_E_BM25;0;100;4;100;2299470;2299439;0;0;9196010;9461679;2299692
8201;gov2;bm25;INVIDX_E_BM25;0;100;4;100;240352;240323;0;0;830736;909531;240570
8273;gov2;bm25;INVIDX_E_BM25;0;100;3;100;1563362;1563336;0;0;6697200;7293624;1563588
8356;gov2;bm25;INVIDX_E_BM25;0;100;6;100;7396179;7396144;0;0;19453871;42575451;7396403
8362;gov2;bm25;INVIDX_E_BM25;0;100;2;100;4040;4015;0;0;15486;15570;4131
8455;gov2;bm25;INVIDX_E_BM25;0;100;4;100;514788;514769;0;0;2005194;2037435;514989
8458;gov2;bm25;INVIDX_E_BM25;0;100;4;100;986551;986520;0;0;3892227;3986985;986765
8524;gov2;bm25;INVIDX_E_BM25;0;100;2;100;77378;77352;0;0;349302;349302;77603
8525;gov2;bm25;INVIDX_E_BM25;0;100;2;100;414590;414565;0;0;2021203;2073645;414811
8700;gov2;bm25;INVIDX_E_BM25;0;100;2;100;33963;33937;0;0;138659;138807;34106
8815;gov2;bm25;INVIDX_E_BM25;0;100;2;100;8442;8428;0;0;35077;35292;8532
9140;gov2;bm25;INVIDX_E_BM25;0;100;2;100;11032;11019;0;0;44241;44490;11108
9373;gov2;bm25;INVIDX_E_BM25;0;100;2;100;84648;84635;0;0;361842;369588;84839
9407;gov2;bm25;INVIDX_E_BM25;0;100;2;100;1778991;1778966;0;0;8922381;9028974;1779210
9483;gov2;bm25;INVIDX_E_BM25;0;100;2;100;14231;14205;0;0;56560;56565;14323
9513;gov2;bm25;INVIDX_E_BM25;0;100;2;100;20462;20449;0;0;80568;80732;20558
9527;gov2;bm25;INVIDX_E_BM25;0;100;1;100;9419;9408;0;0;49455;49455;9506
9631;gov2;bm25;INVIDX_E_BM25;0;100;1;39;27;17;0;0;39;39;96
9690;gov2;bm25;INVIDX_E_BM25;0;100;2;100;5749;5736;0;0;23057;23058;5820
9698;gov2;bm25;INVIDX_E_BM25;0;100;6;100;3382330;3382307;0;0;9876917;14872358;3382521
9756;gov2;bm25;INVIDX_E_BM25;0;100;2;100;17186;17160;0;0;67466;67525;17284
9789;gov2;bm25;INVIDX_E_BM25;0;100;5;100;4381821;4381801;0;0;16075386;16993443;4382057
9862;gov2;bm25;INVIDX_E_BM25;0;100;4;100;2205211;2205179;0;0;8342411;10045347;2205441
9937;gov2;bm25;INVIDX_E_BM25;0;100;3;100;820939;820909;0;0;3414863;3792855;821155
9950;gov2;bm25;INVIDX_E_BM25;0;100;2;100;21664;21638;0;0;86068;87111;21762
9990;gov2;bm25;INVIDX_E_BM25;0;100;1;100;385;375;0;0;1560;1560;456
10044;gov2;bm25;INVIDX_E_BM25;0;100;3;100;6630;6614;0;0;23956;24076;6703
10123;gov2;bm25;INVIDX_E_BM25;0;100;3;100;255744;255729;0;0;1024707;1035542;255938
