qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
4153;gov2;IDX_D;3;10;1;10;743;480;364;50410357;0;0;818
4172;gov2;IDX_D;3;10;2;10;1045549;1045420;471525;50410357;0;0;1048342
4212;gov2;IDX_D;3;10;2;10;33216;28722;4675;50410357;0;0;33424
4234;gov2;IDX_D;3;10;2;10;25478;25112;13933;50410357;0;0;25675
4290;gov2;IDX_D;3;10;1;10;812;753;649;50410357;0;0;895
4379;gov2;IDX_D;3;10;2;10;4850;4426;2644;50410357;0;0;4935
4521;gov2;IDX_D;3;10;1;10;1466;1192;1030;50410357;0;0;1555
4526;gov2;IDX_D;3;10;2;0;924;762;445;50410357;0;0;998
4580;gov2;IDX_D;3;10;1;10;476;325;246;50410357;0;0;549
4684;gov2;IDX_D;3;10;1;10;355;304;250;50410357;0;0;429
4688;gov2;IDX_D;3;10;3;0;3025;2710;1178;50410357;0;0;3118
4720;gov2;IDX_D;3;10;1;10;313;265;207;50410357;0;0;387
4802;gov2;IDX_D;3;10;2;1;310;151;67;50410357;0;0;380
4829;gov2;IDX_D;3;10;1;9;270;225;182;50410357;0;0;341
4846;gov2;IDX_D;3;10;2;10;15679;15439;8928;50410357;0;0;15809
4855;gov2;IDX_D;3;10;1;10;556;400;305;50410357;0;0;632
4942;gov2;IDX_D;3;10;3;10;222589;222115;79248;50410357;0;0;223360
5001;gov2;IDX_D;3;10;1;10;8044;6779;3767;50410357;0;0;8212
5005;gov2;IDX_D;3;10;1;10;748;461;318;50410357;0;0;830
5016;gov2;IDX_D;3;10;1;10;1629;1481;1306;50410357;0;0;1718
5023;gov2;IDX_D;3;10;3;10;16700;16510;7065;50410357;0;0;31478
5036;gov2;IDX_D;3;10;3;10;242737;220532;74453;50410357;0;0;245192
5183;gov2;IDX_D;3;10;1;10;29987;27534;16555;50410357;0;0;30490
5209;gov2;IDX_D;3;10;3;10;975328;974946;289546;50410357;0;0;978124
5241;gov2;IDX_D;3;10;1;10;73258;68823;775;50410357;0;0;73481
5274;gov2;IDX_D;3;10;4;0;1509;141;3;50410357;0;0;1612
5302;gov2;IDX_D;3;10;2;10;276457;276321;139748;50410357;0;0;277013
5332;gov2;IDX_D;3;10;3;10;31226;29873;10261;50410357;0;0;31757
5336;gov2;IDX_D;3;10;1;10;922;447;290;50410357;0;0;1016
5340;gov2;IDX_D;3;10;1;10;665;368;235;50410357;0;0;740
5465;gov2;IDX_D;3;10;1;10;388;328;243;50410357;0;0;461
5590;gov2;IDX_D;3;10;3;0;647;333;106;50410357;0;0;719
5636;gov2;IDX_D;3;10;1;10;2938;2798;2401;50410357;0;0;3051
5649;gov2;IDX_D;3;10;3;10;344376;343767;121431;50410357;0;0;345759
5847;gov2;IDX_D;3;10;1;4;11408;5027;73;50410357;0;0;12153
5858;gov2;IDX_D;3;10;1;10;1385;770;516;50410357;0;0;1468
5862;gov2;IDX_D;3;10;2;10;10475;10251;5383;50410357;0;0;10584
6031;gov2;IDX_D;3;10;3;0;741;134;15;50410357;0;0;817
6244;gov2;IDX_D;3;10;1;10;3720;3669;3265;50410357;0;0;3852
6295;gov2;IDX_D;3;10;1;10;17759;17711;14724;50410357;0;0;18126
6310;gov2;IDX_D;3;10;5;0;3699;1601;485;50410357;0;0;3782
6341;gov2;IDX_D;3;10;3;5;54594;54304;18446;50410357;0;0;81094
6371;gov2;IDX_D;3;10;2;10;33115;6272;3103;50410357;0;0;48462
