qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
42654;gov2;IDX_D;2;1000;5;1000;3231842;3205610;908192;50410357;0;0;3420778
42669;gov2;IDX_D;2;1000;1;575;113764;92167;8157;50410357;0;0;114459
42750;gov2;IDX_D;2;1000;4;1000;10539619;10538658;2422184;50410357;0;0;11027180
42758;gov2;IDX_D;2;1000;2;1000;1297381;1290630;457222;50410357;0;0;1299792
42820;gov2;IDX_D;2;1000;1;1000;92206;83629;34878;50410357;0;0;93447
43044;gov2;IDX_D;2;1000;4;1000;3402482;3401427;1062559;50410357;0;0;3625802
43094;gov2;IDX_D;2;1000;2;1000;1827290;1817402;711955;50410357;0;0;1971634
43099;gov2;IDX_D;2;1000;4;1000;5594268;5578085;1433329;50410357;0;0;5869077
43186;gov2;IDX_D;2;1000;3;1000;463849;457660;138082;50410357;0;0;465801
43196;gov2;IDX_D;2;1000;1;1000;33006;30136;16700;50410357;0;0;33821
43294;gov2;IDX_D;2;1000;2;1000;276313;275686;143463;50410357;0;0;277711
43316;gov2;IDX_D;2;1000;3;1000;3163070;3154731;1169706;50410357;0;0;3401588
43515;gov2;IDX_D;2;1000;6;1000;4561144;4528883;1209397;50410357;0;0;4842358
43736;gov2;IDX_D;2;1000;3;1000;3120292;3079192;857791;50410357;0;0;3281223
43805;gov2;IDX_D;2;1000;1;18;68331;58851;354;50410357;0;0;69077
43959;gov2;IDX_D;2;1000;1;4;472;213;86;50410357;0;0;1103
43986;gov2;IDX_D;2;1000;2;1000;68899;68354;38331;50410357;0;0;70114
44039;gov2;IDX_D;2;1000;3;1000;3029649;3028967;1222549;50410357;0;0;3286086
44041;gov2;IDX_D;2;1000;4;1000;1897283;1883027;607593;50410357;0;0;2013748
44218;gov2;IDX_D;2;1000;1;675;61715;58346;9167;50410357;0;0;62452
44315;gov2;IDX_D;2;1000;2;1000;162049;161422;86709;50410357;0;0;163528
44439;gov2;IDX_D;2;1000;3;1000;1174924;1170783;462541;50410357;0;0;1177342
44443;gov2;IDX_D;2;1000;1;21;28864;16349;327;50410357;0;0;29571
44479;gov2;IDX_D;2;1000;2;1000;288620;288373;141801;50410357;0;0;290043
44496;gov2;IDX_D;2;1000;1;1000;34671;30934;17058;50410357;0;0;35444
44551;gov2;IDX_D;2;1000;3;1000;3009205;3008706;1091082;50410357;0;0;3224853
44624;gov2;IDX_D;2;1000;2;1000;149673;141058;41805;50410357;0;0;150912
44640;gov2;IDX_D;2;1000;3;1000;2618818;2617951;822532;50410357;0;0;2769396
44806;gov2;IDX_D;2;1000;3;1000;872214;860456;322032;50410357;0;0;874147
44913;gov2;IDX_D;2;1000;2;1000;53703;44729;19163;50410357;0;0;54574
45146;gov2;IDX_D;2;1000;2;1000;92255;91456;53744;50410357;0;0;93513
45164;gov2;IDX_D;2;1000;1;1000;27625;26612;15986;50410357;0;0;28415
45329;gov2;IDX_D;2;1000;4;1000;876229;874077;320686;50410357;0;0;878069
45344;gov2;IDX_D;2;1000;3;1000;1645156;1634916;735387;50410357;0;0;1798918
45358;gov2;IDX_D;2;1000;3;1000;4313268;4303111;867378;50410357;0;0;4363628
45365;gov2;IDX_D;2;1000;5;1000;5777455;5750708;1685518;50410357;0;0;6135426
45414;gov2;IDX_D;2;1000;3;1000;2733573;2694353;786690;50410357;0;0;2883790
45421;gov2;IDX_D;2;1000;1;14;62720;50859;263;50410357;0;0;64912
45429;gov2;IDX_D;2;1000;2;1000;378710;376490;183668;50410357;0;0;380956
45478;gov2;IDX_D;2;1000;1;1000;34849;29917;13295;50410357;0;0;35519
45479;gov2;IDX_D;2;1000;2;1000;36843;34914;21048;50410357;0;0;37673
45493;gov2;IDX_D;2;1000;6;1000;4568537;4566109;1340643;50410357;0;0;4833360
45542;gov2;IDX_D;2;1000;4;1000;2631066;2615823;836776;50410357;0;0;2784089
45566;gov2;IDX_D;2;1000;4;1000;6230957;6217439;1526407;50410357;0;0;6505337
45719;gov2;IDX_D;2;1000;2;1000;1385729;1376598;568035;50410357;0;0;1500688
45751;gov2;IDX_D;2;1000;1;3;13795;6561;62;50410357;0;0;15911
45919;gov2;IDX_D;2;1000;2;1000;86204;79199;33513;50410357;0;0;87285
45938;gov2;IDX_D;2;1000;3;1000;1852061;1851581;677794;50410357;0;0;1968318
45970;gov2;IDX_D;2;1000;4;1000;1798912;1782507;628291;50410357;0;0;1910697
46163;gov2;IDX_D;2;1000;2;1000;218451;213429;86506;50410357;0;0;219757
46448;gov2;IDX_D;2;1000;1;112;5091;3568;1804;50410357;0;0;5594
46471;gov2;IDX_D;2;1000;1;5;877;298;108;50410357;0;0;1366
46492;gov2;IDX_D;2;1000;3;1000;1420858;1420405;481056;50410357;0;0;1423111
