qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
70;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;7332148;7288331;54174;50410357;0;0;241332691
211;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;917295;917255;197824;50410357;0;0;920548
257;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;30414;23743;369;50410357;0;0;30680
259;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;0;2877;2842;667;50410357;0;0;3016
450;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;83202;83186;28171;50410357;0;0;83690
527;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;11534;11498;4072;50410357;0;0;11688
591;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;6652;6630;1823;50410357;0;0;6838
626;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;2754;2734;1027;50410357;0;0;2870
717;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;10;226833;226820;86652;50410357;0;0;227902
736;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;474256;474144;105025;50410357;0;0;476379
775;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;8;10;636009;634344;87960;50410357;0;0;636336
892;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;3215296;3215254;641025;50410357;0;0;3216860
966;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;331822;331787;61473;50410357;0;0;332519
1113;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;4;22157;22085;7403;50410357;0;0;22421
1131;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;2714734;2714705;512513;50410357;0;0;2717997
1180;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;7;0;122775;59833;2923;50410357;0;0;123186
1209;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;1;20333;20282;3360;50410357;0;0;20565
1235;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;5;276;261;113;50410357;0;0;375
1243;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;24996;24980;8799;50410357;0;0;25233
1248;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;58816;58787;12873;50410357;0;0;59293
1253;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;10;227446;227412;77527;50410357;0;0;228161
1264;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;885658;885144;167566;50410357;0;0;889121
1286;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;166766;124217;20883;50410357;0;0;167212
1412;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;516588;516554;151986;50410357;0;0;518554
1468;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;5053257;5052424;875523;50410357;0;0;5058778
1550;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;10;356676;340652;18470;50410357;0;0;357229
1551;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;10;205368;205336;75463;50410357;0;0;206034
1613;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;577327;576873;156243;50410357;0;0;579405
1661;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;290958;290472;89454;50410357;0;0;291678
1796;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;50166;49780;17082;50410357;0;0;50477
1847;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;0;3702;3661;643;50410357;0;0;3842
1903;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;1454950;1454926;257869;50410357;0;0;1457282
1969;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;3;3274;830;216;50410357;0;0;3397
2118;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;0;305;282;15;50410357;0;0;406
2146;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;70141;70126;23839;50410357;0;0;70508
2217;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;1488025;1487985;303318;50410357;0;0;1491597
2271;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;5543804;5542049;1254944;50410357;0;0;5545329
2321;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;3714107;3714065;653651;50410357;0;0;3717700
2343;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;1551421;1517661;230732;50410357;0;0;1554900
2348;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;792554;757964;166168;50410357;0;0;795945
2383;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;52284;35621;6037;50410357;0;0;52966
2388;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;355228;355175;75874;50410357;0;0;356627
2449;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;3164788;3159288;541628;50410357;0;0;3168922
2550;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;464006;412211;64236;50410357;0;0;465979
2568;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;482240;481476;84887;50410357;0;0;483011
2602;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;496101;495581;113028;50410357;0;0;498735
2669;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;811678;804799;169189;50410357;0;0;813739
2761;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;34793;31284;2630;50410357;0;0;35101
2825;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;1229122;1229090;332147;50410357;0;0;1232196
2826;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;10;43594;36219;12363;50410357;0;0;44015
2828;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;1064396;1064355;226233;50410357;0;0;1068151
3064;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;10;44219;33476;850;50410357;0;0;44496
3068;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;10;17231;17201;8625;50410357;0;0;17377
3091;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;3;78357;78329;15960;50410357;0;0;78755
3161;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;10;7113;7078;3277;50410357;0;0;7250
3234;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;341442;341419;76605;50410357;0;0;342187
